"date","observer.initials","obs.method","device","point.number","time","sky","wind","noise","temp","species.code","count.number","type.a.v","distance.50.u.o","notes","correct.id"
2023-07-20,"EJD","merlin","iPhone 12 Pro","RC2","10:46",0,0,1,72,"DEJU",1,"a",NA,"","no"
2023-07-20,"KL","playback",NA,"RC2","10:46",0,0,1,72,"YRWA",NA,"a",NA,"",NA
2023-07-20,"KL","playback",NA,"RC2","10:46",0,0,1,72,"BTNW",NA,"a",NA,"",NA
2023-07-20,"KL","playback",NA,"RC2","10:46",0,0,1,72,"REVI",NA,"a",NA,"",NA
2023-07-20,"BDG","hearing","human","RC3","10:57",0,0,1,72,"REVI",1,"a","u","","yes"
2023-07-20,"BDG","hearing","human","RC3","10:57",0,0,1,72,"BTNW",2,"a","u","","yes"
2023-07-20,"BDG","hearing","human","RC3","10:57",0,0,1,72,"BWHA",1,"a",NA,"","yes"
2023-07-20,"ZHK","merlin","iPhone 14","RC3","10:57",0,0,1,72,"REVI",1,"a",NA,"","yes"
2023-07-20,"ZHK","merlin","iPhone 14","RC3","10:57",0,0,1,72,"BTNW",1,"a",NA,"","yes"
2023-07-20,"EDH","merlin","iPhone SE","RC3","10:57",0,0,1,72,"REVI",1,"a",NA,"","yes"
2023-07-20,"EDH","merlin","iPhone SE","RC3","10:57",0,0,1,72,"BTNW",1,"a",NA,"","yes"
2023-07-20,"EJD","merlin","iPhone 12 Pro","RC3","10:57",0,0,1,72,"REVI",1,"a",NA,"","yes"
2023-07-20,"EJD","merlin","iPhone 12 Pro","RC3","10:57",0,0,1,72,"BTNW",1,"a",NA,"","yes"
2023-07-20,"KL","playback",NA,"RC3","10:57",0,0,1,72,"REVI",NA,"a",NA,"",NA
2023-07-20,"KL","playback",NA,"RC3","10:57",0,0,1,72,"BTNW",NA,"a",NA,"",NA
2023-07-20,"KL","playback",NA,"RC3","10:57",0,0,1,72,"NAWA",NA,"a",NA,"",NA
2023-07-20,"KL","playback",NA,"RC3","10:57",0,0,1,72,"BWHA",NA,"a",NA,"",NA
2023-07-20,"BDG","hearing","human","RC4","11:08",0,0,2,72,"BTNW",1,"a",NA,"","yes"
2023-07-20,"BDG","hearing","human","RC4","11:08",0,0,2,72,"REVI",1,"a",NA,"","yes"
2023-07-20,"BDG","hearing","human","RC4","11:08",0,0,2,72,"NAWA",1,"a",NA,"","yes"
2023-07-20,"BDG","hearing","human","RC4","11:08",0,0,2,72,"OVEN",1,"a",NA,"","yes"
2023-07-20,"ZHK","merlin","iPhone 14","RC4","11:08",0,0,2,72,"BTNW",1,"a",NA,"","yes"
2023-07-20,"ZHK","merlin","iPhone 14","RC4","11:08",0,0,2,72,"REVI",1,"a",NA,"","yes"
2023-07-20,"ZHK","merlin","iPhone 14","RC4","11:08",0,0,2,72,"NOCA",1,"a",NA,"","no"
2023-07-20,"ZHK","merlin","iPhone 14","RC4","11:08",0,0,2,72,"NAWA",1,"a",NA,"","yes"
2023-07-20,"ZHK","merlin","iPhone 14","RC4","11:08",0,0,2,72,"AGOL",1,"a",NA,"","yes"
2023-07-20,"EDH","merlin","iPhone SE","RC4","11:08",0,0,2,72,"BTNW",1,"a",NA,"","yes"
2023-07-20,"EDH","merlin","iPhone SE","RC4","11:08",0,0,2,72,"NAWA",1,"a",NA,"","yes"
2023-07-20,"EJD","merlin","iPhone 12 Pro","RC4","11:08",0,0,2,72,"REVI",1,"a",NA,"","yes"
2023-07-20,"EJD","merlin","iPhone 12 Pro","RC4","11:08",0,0,2,72,"BTNW",1,"a",NA,"","yes"
2023-07-20,"EJD","merlin","iPhone 12 Pro","RC4","11:08",0,0,2,72,"NOCA",1,"a",NA,"","no"
2023-07-20,"EJD","merlin","iPhone 12 Pro","RC4","11:08",0,0,2,72,"NAWA",1,"a",NA,"","yes"
2023-07-20,"EJD","merlin","iPhone 12 Pro","RC4","11:08",0,0,2,72,"AGOL",1,"a",NA,"","yes"
2023-07-20,"KL","playback",NA,"RC4","11:08",0,0,2,72,"BTNW",NA,"a",NA,"",NA
2023-07-20,"KL","playback",NA,"RC4","11:08",0,0,2,72,"REVI",NA,"a",NA,"",NA
2023-07-20,"KL","playback",NA,"RC4","11:08",0,0,2,72,"NAWA",NA,"a",NA,"",NA
2023-07-20,"KL","playback",NA,"RC4","11:08",0,0,2,72,"AGOL",NA,"a",NA,"",NA
2023-07-20,"KL","playback",NA,"RC4","11:08",0,0,2,72,"OVEN",NA,"a",NA,"",NA
2023-07-20,"BDG","hearing","human","RC5","11:17",0,0,1,74,"HETH",2,"a",NA,"","yes"
2023-07-20,"BDG","hearing","human","RC5","11:17",0,0,1,74,"MAWA",1,"a",NA,"","yes"
2023-07-20,"EDH","merlin","iPhone SE","RC5","11:17",0,0,1,74,"CEDW",1,"a",NA,"","yes"
2023-07-20,"EJD","merlin","iPhone 12 Pro","RC5","11:17",0,0,1,74,"HETH",1,"a",NA,"","yes"
2023-07-20,"EJD","merlin","iPhone 12 Pro","RC5","11:17",0,0,1,74,"CEDW",1,"a",NA,"","yes"
2023-07-20,"KL","playback",NA,"RC5","11:17",0,0,1,74,"HETH",NA,"a",NA,"",NA
2023-07-20,"KL","playback",NA,"RC5","11:17",0,0,1,74,"BTNW",NA,"a",NA,"",NA
2023-07-20,"KL","playback",NA,"RC5","11:17",0,0,1,74,"CEDW",NA,"a",NA,"",NA
2023-07-20,"KL","playback",NA,"RC5","11:17",0,0,1,74,"MAWA",NA,"a",NA,"",NA
2023-07-20,"BDG","hearing","human","RC6","11:30",0,0,1,74,"BTNW",1,"a","u","","yes"
2023-07-20,"BDG","hearing","human","RC6","11:30",0,0,1,74,"HETH",2,"a","u","","yes"
2023-07-20,"BDG","hearing","human","RC6","11:30",0,0,1,74,"MODO",1,"a","o","","yes"
2023-07-20,"ZHK","merlin","iPhone 14","RC6","11:30",0,0,1,74,"BTNW",1,"a",NA,"","yes"
2023-07-20,"ZHK","merlin","iPhone 14","RC6","11:30",0,0,1,74,"HETH",1,"a",NA,"","yes"
2023-07-20,"EDH","merlin","iPhone SE","RC6","11:30",0,0,1,74,"BTNW",1,"a",NA,"","yes"
2023-07-20,"EDH","merlin","iPhone SE","RC6","11:30",0,0,1,74,"HETH",1,"a",NA,"","yes"
2023-07-20,"EJD","merlin","iPhone 12 Pro","RC6","11:30",0,0,1,74,"BTNW",1,"a",NA,"","yes"
2023-07-20,"EJD","merlin","iPhone 12 Pro","RC6","11:30",0,0,1,74,"HETH",1,"a",NA,"","yes"
2023-07-20,"KL","playback",NA,"RC6","11:30",0,0,1,74,"HETH",NA,"a",NA,"",NA
2023-07-20,"KL","playback",NA,"RC6","11:30",0,0,1,74,"BTNW",NA,"a",NA,"",NA
2023-07-26,"BDG","hearing","human","RC1","9:55",0,0,1,70,"OSPR",1,"a","o","","yes"
2023-07-26,"BDG","hearing","human","RC1","9:55",0,0,1,70,"YRWA",1,"a","u","","no"
2023-07-26,"BDG","hearing","human","RC1","9:55",0,0,1,70,"RBNU",1,"a","u","","unverifiable"
2023-07-26,"BDG","hearing","human","RC1","9:55",0,0,1,70,"WTSP",1,"a","o","","unverifiable"
2023-07-26,"BDG","hearing","human","RC1","9:55",0,0,1,70,"BCCH",1,"a","u","","yes"
2023-07-26,"EDH","merlin","iPhone SE","RC1","9:55",0,0,1,70,"BAWW",1,"a",NA,"audio files","yes"
2023-07-26,"EDH","merlin","iPhone SE","RC1","9:55",0,0,1,70,"OSPR",1,"a",NA,"","yes"
2023-07-26,"EDH","merlin","iPhone SE","RC1","9:55",0,0,1,70,"BCCH",1,"a",NA,"","yes"
2023-07-26,"KL","playback",NA,"RC1","9:55",0,0,1,70,"OSPR",NA,"a",NA,"",NA
2023-07-26,"KL","playback",NA,"RC1","9:55",0,0,1,70,"BAWW",NA,"a",NA,"",NA
2023-07-26,"KL","playback",NA,"RC1","9:55",0,0,1,70,"BTNW",NA,"a",NA,"",NA
2023-07-26,"KL","playback",NA,"RC1","9:55",0,0,1,70,"BCCH",NA,"a",NA,"",NA
2023-07-26,"BDG","hearing","human","RC10","12:01",0,0,1,74,"BTNW",3,"a","u","","yes"
2023-07-26,"BDG","hearing","human","RC10","12:01",0,0,1,74,"REVI",1,"a","o","","yes"
2023-07-26,"BDG","hearing","human","RC10","12:01",0,0,1,74,"GCKI",1,"a","u","","yes"
2023-07-26,"EDH","merlin","iPhone SE","RC10","12:01",0,0,1,74,"BTNW",1,"a",NA,"","yes"
2023-07-26,"EDH","merlin","iPhone SE","RC10","12:01",0,0,1,74,"GCKI",1,"a",NA,"","yes"
2023-07-26,"KL","playback",NA,"RC10","12:01",0,0,1,74,"GCKI",NA,"a",NA,"",NA
2023-07-26,"KL","playback",NA,"RC10","12:01",0,0,1,74,"REVI",NA,"a",NA,"",NA
2023-07-26,"KL","playback",NA,"RC10","12:01",0,0,1,74,"BTNW",NA,"a",NA,"",NA
2023-07-26,"BDG","hearing","human","RC2","10:11",0,0,1,70,"AMCR",2,"a","o","","yes"
2023-07-26,"BDG","hearing","human","RC2","10:11",0,0,1,70,"OSPR",1,"a","o","","unverifiable"
2023-07-26,"BDG","hearing","human","RC2","10:11",0,0,1,70,"REVI",1,"a","o","","unverifiable"
2023-07-26,"BDG","hearing","human","RC2","10:11",0,0,1,70,"UNK",1,"a","o","",NA
2023-07-26,"EDH","merlin","iPhone SE","RC2","10:11",0,0,1,70,"AMCR",1,"a",NA,"","yes"
2023-07-26,"KL","playback",NA,"RC2","10:11",0,0,1,70,"AMCR",NA,"a",NA,"",NA
2023-07-26,"KL","playback",NA,"RC2","10:11",0,0,1,70,"HOFI",NA,"a",NA,"",NA
2023-07-26,"BDG","hearing","human","RC3","10:24",0,0,1,70,"REVI",2,"a","u","","yes"
2023-07-26,"BDG","hearing","human","RC3","10:24",0,0,1,70,"AMCR",2,"a","o","","unverifiable"
2023-07-26,"BDG","hearing","human","RC3","10:24",0,0,1,70,"BTNW",3,"a","o","","yes"
2023-07-26,"EDH","merlin","iPhone SE","RC3","10:24",0,0,1,70,"REVI",1,"a",NA,"","yes"
2023-07-26,"EDH","merlin","iPhone SE","RC3","10:24",0,0,1,70,"BTNW",1,"a",NA,"","yes"
2023-07-26,"KL","playback",NA,"RC3","10:24",0,0,1,70,"REVI",NA,"a",NA,"",NA
2023-07-26,"KL","playback",NA,"RC3","10:24",0,0,1,70,"BTNW",NA,"a",NA,"",NA
2023-07-26,"BDG","hearing","human","RC4","10:36",0,0,1,70,"BTNW",1,"a","u","","yes"
2023-07-26,"BDG","hearing","human","RC4","10:36",0,0,1,70,"NOCA",2,"a","u","","no"
2023-07-26,"BDG","hearing","human","RC4","10:36",0,0,1,70,"REVI",2,"a","u","","yes"
2023-07-26,"BDG","hearing","human","RC4","10:36",0,0,1,70,"HETH",2,"a","u","","yes"
2023-07-26,"BDG","hearing","human","RC4","10:36",0,0,1,70,"WTSP",1,"a","u","","yes"
2023-07-26,"BDG","hearing","human","RC4","10:36",0,0,1,70,"OVEN",1,"a","u","","yes"
2023-07-26,"BDG","hearing","human","RC4","10:36",0,0,1,70,"AMCR",1,"a","o","","unverifiable"
2023-07-26,"EDH","merlin","iPhone SE","RC4","10:36",0,0,1,70,"REVI",1,"a",NA,"","yes"
